wallet_address,total_estimated_airdrop,current_points,initial_airdrop_amount
CEUK5dw3gkkvTQmxVppKpm8gE6pX6xijGupWfxojnSLf,0,100,0
CJqfUCx8jvQ1DCvEMpaZVayrW5XhwAsp73mXXmJ6ia4J,3302120.939749245,355,5162.5
CKb2oZ7D3DMgxmcSfHrWR4Q2PKLHdHxas4ciyFb25Uax,928720.6872533086,100,0
CKvEtFpkhuyJ7TxPybJkJTTC4KdQDMMxm8CqPF7Ha21T,1393081.030879963,150,0
CNPGJNXiq66RrhVuTwoR1D56jRmoo5UkoEMkYMDGBRQG,928720.6872533086,100,0
CZ74crxFcVeAQaJ7WbZrvneRnE35TD2xwwfXVhcbyp3M,0,100,0
CaEogToeKZDDtVGV851KARvf329rxgJJaYjiNkXqpuAW,928720.6872533086,100,0
CbkVqFQG948aQzAGaRNwCdKRpyxJ1oKPKEnbUAT9YK48,1903877.4088692826,205,0
CdqHYRagoYD7Kg1ExdWM57vxdPGKxrZwDPrnoeDKiga2,9244021.360575806,780,2000000
CkBeBEB29vdq4ev2E4MFa7NLwdrp2Y65nNae2UbvbrZF,928720.6872533086,100,0
Cr3B7NGuRqKpxsicfxHJ11kMASSXDWv1TwateM5BWD7W,0,100,0
CvzyC8PVy4qbSYdEi9m8t8hj61dm17yatAgBMtdk7awt,1934604.0404681107,305,0
CzqBePBRwSBsVUySNgVb4qmg2R7tiuVhqwK9MYbi3Zmh,1857441.3745066172,200,0
D5RpnfFmQpBG39J1XkYTKgvrJfCoTQeArcwGFtYoF5Ye,1903877.4088692826,205,0
D9CkGNrne8wdVdfux2cxiGhTgPAdq9gvjaqzwcPvTZbr,928720.6872533086,100,0
DCsDuJTdCyuVXeGpA1gCpzYyU8fbM25bN9RaAdvFD7o4,928720.6872533086,100,0
DFzbXQqJycfAUVHgFe9pwBsg7YHYbE3SATB4P91A68NB,1903877.4088692826,205,0
DMaR8g9kNkLJF7apvdYiVS4g8vAoVXy81kCEGkb2P3eX,1903877.4088692826,205,0
DUb4SMkgJRs2cDCVZDzVG3o8YYCimPh3NVfBVhZLUuFJ,13192127.574913532,2155,0
DVYzEbSiMNsY6KRyYSUbq8n1LHw6r2QA2z1zy7jguXYW,1671697.2370559555,180,0
DeN2UAqvTLc8Vb7N22Yh9pGTtcQpPVyKrg63GdgnsSuz,48941283.71314123,6150,11316249.3
Doa4uQqpWuWgWmha2C6rgdJML3iFbALcGnDd3LweRTZV,57176624.70886928,205,55272747.3
DtdspZuJ6JQayoBn7FZDV7CCeTFs6x4c7M224B7Az3od,1160900.8590666356,125,0
E3fVL2g6z5F8XMFPx2ByAg2VRyn84x4Fj1ddXFTWPsrK,2271927.298326453,355,0
E8rVxmmF1VGG8XUUx1pKCtiEakKeUVtxHnzsrYHhoLcp,47364755.04991873,5100,0
EBFBigFZ86zXWurHH59wx9MmUQBU4Bkz2C4gHQ4XRLPF,59175122.108869284,205,57271244.7
EDD6ZjtwkwANTaQavKhqTyPmSyR8qL8ZgSxWveHTPYXK,1930318.6608018733,305,0
EDhkRx28JTQn8EoH3MmkFi6hGUNg5Xew7akc9XNcv8rx,4088823.2490132344,400,373940.5
EDj4dRR2k4ia6BErEDdv5BzgBoEdNtD2raSfzMtVGVZS,1684280.0528401586,255,0
EF87curTeNN7DKR55L8xENpm5Cqr5q4aaEtUmWNJQiJU,33836940.5,255,33836685.5
EHySvFkMs1cPAEKxrFmAcztpJGaAeiAhW6NDZejFwaL4,2136057.5806826097,230,0
EKnHbv7NEeKgsUwC1QjYrZ8LFgPmv3mXqZ75LyJPgdCJ,1857441.3745066172,200,0
EKpTMSAsnGCtuYCUgSS8XvEo2ULampE6dSBxFcb97PDC,2271200.537410831,355,0
ELkeniAcCKtdUxD3nNwHsKqCkvdCf8ays7igUcY8diSU,1393081.030879963,150,0
EUhELC7pCv6DD1kegfr2XurmoNwUsQoAXzN7GLKmbbbs,928720.6872533086,100,0
EXMubypMpcwVaKc9bJbuuHKxjybFwdJU7KKmgbW3qsmo,1903877.4088692826,205,0
EXeyBCzNXVdwpJQPB5yYMPR7BnfR9L2TaGyFHFvriCcP,2438605.529795638,355,0
EcsqepKipbUFbzpXQa1hf4vw4eSjy7zVbGy3mWLcdCvv,1903877.4088692826,205,0
Ei5YsU94vNEagGk2rNSYPzmisgyaVVXr6UfSrJHvQygq,928720.6872533086,100,0
Ej4CdvAuqBXAcgFw5Xai67K5r25jpsmL8fVgacdpXYA4,928720.6872533086,100,0
EjH6vgBRrpdCQFSASgvveqn6ta2RRv1AvLZY6JeFfg5z,205,205,0
Ekx3VSLuaz3uhcH1BhCTMnrpRfnwwxmHUJRZGog8fRgS,1903877.4088692826,205,0
En59uQc2dBLNtSMJmPFVP9MqmghBFe4Ri6SbPevhopER,205,205,0
EnqS7HHdoLtKkNCHDdhpEgzyCC6Dqvn28GGow8xL1QnX,928720.6872533086,100,0
EpTNXFPWReLRVdP2hs7XbK16HuwvVEuUD4yWcpKP3CwZ,1857441.3745066172,200,0
F18gmevs2xZMoyz5JeHZ3VbX2ZBRaq36CkePzguVJbZE,1903877.4088692826,205,0
F27sEmBkM3mJBvgA8TfX5JVf9MZWNSChW9w9DVMHkLdK,1932152.92515283,305,0
F4ZaZGPdEMKJA14V6agGtPaXec4RmtVUgBXJZvr8yXJa,5212274.6872533085,100,4283554
FAY78xsdDimD56BQRZJMZ3mfKxPRovHgJRuLgigdUcy1,928720.6872533086,100,0
FBfgKqtunwAWyoRG1nRPecpmbPySNb9nEWfAVxsum6St,928720.6872533086,100,0
FCw4u8E9LzCQamiVTexW9EK8wHmFW8L7ne3GGqbmNhia,928720.6872533086,100,0
FGi8z9CRL9XULHsaG3RBgcG2UtidRvWAWhNoSrgFg7Fe,1903877.4088692826,205,0
FPjSoauAXtMmqNYw432n5wcWCkws32V1yDkefntFzxGa,928720.6872533086,100,0
FSJ9qvJAWgF689Fk3DJEE6HnnQg434TcwB7adzxxoqKE,2527222.239555708,405,0
FTjsSo9TbnzroUgiHTbhp6c8yMjPUeJ4a9DEGNTAy7D9,2832598.0961225913,305,0
FTmUHnkoHGnATHzT2MiHYtyDdw6bQGfBDYx4meXSax7E,1903877.4088692826,205,0
FVdZx3SqPtRNNZwPgo6tvt1YHRfizwFj3yrP21Mkuuyw,1903877.4088692826,205,0
FWTZM3NgjdQDpMohot4zZjksFBqrVu83bvTmG5jjFNvR,9346348.210773159,700,2845303.4
FbsbEa63z8dQVKMZ2vqRVVNKcWS6Sdihapbj9v7EEtKY,1903877.4088692826,205,0
Fcrcy4SQAcUqmf6kLFzTsvxY78fjDZGFFM7YVASQkQL8,1903877.4088692826,205,0
FirmvdVkoXLq94zbux5Hnme5c42jc8otfPmrqKPXdzSs,2262515.5348777925,355,0
Fj6cFYanakSvACJ133JKngB77Po8Jasqur9eAdg6QE2n,0,100,0
FjCCigNcqzFoQRaQnpAtGorSM2XXQwZ8t4AbL1raahuW,928720.6872533086,100,0
FpXYbo3F4BDBgabRqZTgTKAemgjGK5tt58MxQaGdHdvt,0,100,0
FqY2rDWmtYEptQuu4oPpBLqyoge3e3jBNSW35NWkLEQP,928720.6872533086,100,0
Fs8twZyj5DJ7wn8sNXJUuSw8veieyax6ma7X6P8WyYYb,3558714.6500763204,255,1828786.9
FtRvkMkhygnsU8hGPgqrkFTx6dVkoeXQK8TJCCMJWdTz,0,100,0
FtupAD5duH8Hmys5uoXSQBZ6jBoYJG8f5GBCysYvwz8N,928720.6872533086,100,0
FvnGZ1tN8SXhpdmKjFopCyiK95PbMLVyZ5eioCVRrAqf,1439517.0652426283,155,0
FwczjPyxXCtURpRktNbaMG1zN6q7Br31EshWx9aUKFj9,1857441.3745066172,200,0
G2yr2A5RHsiNFd5cqH4kHhS5N8kCewQQqaqyFHyyD4AG,928720.6872533086,100,0
G6Z22k51N2RsbpSFRiPZrS4dJJ4XhjmyvU7xLLuL91Vh,1903877.4088692826,205,0
G7NYXiQxq1cPqE1uTWEPW9BKd1yzzzabzVpCTz6FU2k9,1903877.4088692826,205,0
G9SvxD4G4nkRmGY4XvJAGKVUGH3qcgrYmWfrwSxu9gmZ,205,205,0
G9a8obd62QdENDk4X7ytZHfatGbJmE2wE9pVavhvvg1W,0,100,0
GBrmppUCwfy5Z38TSQdWSCJSHZTcPyqDLxZ3iCBiZGTi,928720.6872533086,100,0
GCTwMYoWHd7EB9sSXRg4wvH2y1Y3qkJK54uZ61hmcK1h,7550,7550,0
GDgMdZFyxdzdkUs7jU14zAbPaFFz7CrV59UAjWDJRmz,205,205,0
GG5rjByNBZ6fua6gny9gndc1XE4VbHoc83TZdkLgpEiX,1903877.4088692826,205,0
GGNGraGayXZz5hq9Uiozv1H9g837WiZT25AH7CLJuzq2,0,100,0
GGtZvJpDjz2k2Ld9FQzAyGvbBHcZanhGRbMhsDs163Sh,119531072.14163737,1905,107883614.1
GLFqBN7tb7TM6i7mzhPtngSPtezAWtZubykHkiCVnKYw,47596935.221732065,5125,0
GNpSd6Evo28VVTfjk69z75HZwKvSnfBnXmj9amepnXpr,928720.6872533086,100,0
GRA2Mi6dPZ7631eoyGsGggFNxoiHMC1qsBrbu8cZFDRb,1207336.893429301,130,0
GVpzmmuYeePNCXUFBQahYQGwgJdthKaM9KzedGjLi1bm,5827622.1,205,5827417.1
GXRw4h2aomLq1nQ7CQqHtaniptDaWCP9Go6jfVATRJaS,26505127.305033483,3605,4456871.9
Gco5XJrptjb4WtfUZUkSwFsDgF4297BTGdEjwjfNRRCo,0,100,0
GeG993YQZGZ39UsQ4saRRDWMHjYLZAkW57hhoeSwuhio,37486925,155,37486770
Gm4GL8PQ7NrYxP2d17U4zfN3Js4hC1Y99wVLFX2JEPpv,928720.6872533086,100,0
Gmw6ddiBkw7uZuRex7652XiZbWGSpp3KdV7yXPLw1yJE,2261074.488073628,355,0
GnMUK9A4h6pszYGSon2r6KUkVWgqvGrtgnVs7zxnuKAt,1857441.3745066172,200,0
GnqJo8mVQ7RhF1UAP5ThirVQFCEhVviSYuWUdiaJM5Zo,928720.6872533086,100,0
Gsz34C46JJeG3XdkhiGotoEbffPVXEN9859PLww9aHsC,928720.6872533086,100,0
Gu9uKSdpazpzXYyZNxvZpANewwc6QvqwEFsJZy7Xf4aB,0,100,0
GvsDGNDBQqqmCXzSP14uL7gDVDJLqE3CcjKEQqvHsQ8X,1105,1105,0
GxkXGe3YcqBdEgBrBh19X3wkLkgJXK2jA4k4nioW2Yg,120896215.46319944,2250,100000000
Gz7RqMR2Nxf2Wd3vE2wKvx3bpKtvTEk8xSCxsocd4Vyd,0,100,0
H3a1UXCKoYixAgRJvansqHnvxy29YVYBrmmRjDoU1oqB,928720.6872533086,100,0
H8DWKZTPnJHAEpt8ZuojS6x9xunyC9NGiuCFyvB9kpy5,0,100,0
HDnWq8Zfbtj5EdXmmRe7ofA6auDEnc4Nj9L8y6zT6PgU,0,100,0
HE1FFYoCEZH7paDriBdFKp9dX75BHaPxMRpFBLuLwbqA,20582547.307290457,845,12734857.5
HFGDHWgJ6429CKjLhTK9xU4qWmVGkbPSREGZFgPnWTvZ,928720.6872533086,100,0
HJwNk5Utv4cdHAU1zdnxmmQE59wZGbGzjPy7qxTk7JwU,1978528.1048295544,305,0
HKRqKyThsdGR4wTCbxadm84mRMRpowa63Qg3QvzqjKN2,2620549.8872533087,100,1691829.2
HL4iUFzjdmezsARVUosvns7cR7DY1wShjNVCU4MgiPio,928720.6872533086,100,0
HLmEmjJTiQUDrjwmoSxQKboKVoKdXASqtMttatu66mo3,928720.6872533086,100,0
HLuhctKMeZv38SSTbFX6A4ZQeh3dC3FdHnrwap6QM6Wr,1750471.9409644757,255,0
HMPkf4SdPu9qZVRxosKDnANJ64zKTTzfULmoTq67hQ6u,928720.6872533086,100,0
HPxkoFqfyrTcKSRiDHRS4H4MxFaBWoPDM2XLpNqHG7Nu,1200240.048009602,180,0
HQtN68sDjRTUFZtSLg7NJ76NDrUt2mTXRuck27YX9Lp9,36318733.20258589,5000,0
HRtWMMXpYJ9GmwdaNgFyMq5MeZ1NNktprEkP3DZT49Ka,1903877.4088692826,205,0
HUdvHMaYcMUcrNU8mS5RPEFNmzZNXhKdmXLsjZqQVNMy,9257372.61077316,700,2756327.8
HaC5fkEhFvPx3JetNzvoPB8G7HzV5jiTLzs5VtPcVfQH,1207336.893429301,130,0
Hbp9Vfqj9ShLtGrn7s6PtwiMiqMepJYHsJr8Dii7GZXK,0,100,0
Hei1wAkTJszDXPMw6pj9XLUEeeE2EGVaGpGWxdjpTuRk,2843661.1355895125,455,0
HkfQQP8v664fRjVuqFPPZ2nKevpRiHYiLR8mSiCFn7TU,2263236.7473143986,355,0
HnccbPPeUwMU6Kk1uHGaukgxUKb9XEbatAjCQPHHBdfs,1903877.4088692826,205,0
HqCAAj8rbnhCP2Tx6kb5Cvf6iZTjS8WPLqo8oqK4qrfe,2267573.6961451247,355,0
Hr1h88s9QJqUcyrL2RMEhc175HqZKVQ2S5MfcwwLKsf7,2263958.4196932497,355,0
Hrnb8ntM7oPL23ET6UaVAezRSBG659EzdFJYaKzLrreh,0,100,0
HuxNLqCLXQMnTrvfvKWUAhEuXczc7VX72WZdxhkyYLmR,2368237.7524959366,255,0
J2Efw92fNBzEPtLymsnq3wGLQpXDvHxsXAQMAPxfXEm8,928720.6872533086,100,0
J4WtW9VDwNVqtrEUqiJrcdTn5Ky96qGBiRgNWsWyjjDZ,1929708.0130334375,305,0
J5454ymdjz3K2HMFL46Bnra2tpW7TzzwR1HzV9QVrCTw,0,100,0
J6QzY8BfTyGcnEh56XLc784cu1FdLQTCp2gSGoMMag3L,1903877.4088692826,205,0
JBNh3HJyDzNqVHNuHuvXTFPpctunTSxRA7wuNMmRe5th,0,100,0
JDz5Xt2C31BJKWtcVGnoaKG3rkUSZoSpN3FButVVQFkd,2832598.0961225913,305,0
JQCdzkb9w6DEhG1jPqf1AVDLdGwRmyugMnxNxzBgNVk,242953808.86524263,155,241514291.8
KsBDKQh7L9UPSXQCzKZhGXN26DmDCihEatKV3CfSPUZ,1671697.2370559555,180,0
PTQZttMwF3W8MB454RGyFeCeZHzsuy86YEk2fQ5Bqji,25903239.011468045,2405,11002833.2
R6PjgN99QyCbJn4gcFwcNKrC3g5TCX24oLv8nCYLrDA,1857441.3745066172,200,0
SNauBkt5cc3e2Ym6yubk1FUmWTeqPowBbSZ4btw8Hi4,205,205,0
SxwWts7wHww7MoBGgJdbd5FDNwBM9oW3346tdDKJpsj,1937061.3826172557,305,0
Xzv3EGwXSiTeiAmGLHRPpWmA5wDTcWcHUSUZoHEPoF2,1903877.4088692826,205,0
YZwpyz5s5d5Wo8iYzn5sb1qBETDuRZDNRsYmFK43LE1,3018342.233573253,325,0
cSuDPuARfveX4D7EM4uMCkG5WJrsYdUsb2HTMjeFgBy,1903877.4088692826,205,0
e6TTTitY1TovMPjz4yg8MXBT4WhGHjANmZej3d9HTEX,1940759.123158665,305,0
j7YiW2LQjYWR6ghMKuz5EZSgZmZ4JTMJktqViMxmyuW,100000205,205,100000000
jr3BGJxbA4YqoERCdqR1fikddGtq9pUEmKvsao89q1e,5543474.931855073,905,0
kPxWMEaBe1sUzyiAAEFgM6hF7Xh6CFDwPTwQ5ryJ1ik,1903877.4088692826,205,0
nDCUnM8VntWEfLU1bagZu5hE6xXES6MmEtSDVT9yw63,0,100,0
oGzmhnfeA6bw5Qhjx7gZkUipEydfBX9p5rmo8WtN3Nu,928720.6872533086,100,0
s5bSqJumYBDhBzMTuaYo8ECcTNrkeBYR7s3j9xEvd8J,0,100,0
w5ux5tigKSFMduCAj9Q7yvZfsoAh9KURzSMxkcLE3wj,928720.6872533086,100,0
zdHcwUjevGjHiaUwEvoGVL3Eb1aEfN9nTnYa9qqH7CH,21094533.788165048,505,17920529.2
