wallet_address,total_estimated_airdrop,current_points,initial_airdrop_amount
44hiTPJMb6eifT1BZeb6MmLPw1dAzpL87fMJ8o7rkK37,2136057.5806826097,230,0
46HPX51Wd74aemGmZYzjsi5NXfi2QWFNzZQTARAL66NP,928720.6872533086,100,0
46UP3xhB8s6wqU8K48MRpJ7rshd7hhEjLGdCuto4g9HL,0,100,0
47E2hBrgiyV4oL6X73suKMCCpYKbisQpFL7JVf1hSowi,1903877.4088692826,205,0
48fcHmrQsXz9FfRjuV1Eh2dHyvUE2ddSAYyJTmjueLfS,928720.6872533086,100,0
4CYvF3vTPsi3hmC5ypjmm6JuVPJXhAmFswQPiS9F8kZB,1393081.030879963,150,0
4D7Bw1vYiXBH7YzfqhT1cXhaBJbACJ1UZyPMhQy9SThh,1903877.4088692826,205,0
4ECFDBRAyRrEUZtoDDVD2sRjjg27WuDqkstXxDTon3UB,1903877.4088692826,205,0
4JLEvpwrcJx4r27J1o7w8qUAGWJpCC4aBDYD8PoMPJGa,2272654.524503057,355,0
4K5CrACmvA7spiV7pTR5Bt2r7Q3TRHPajmBXdpERXeKd,928720.6872533086,100,0
4L6NPsvR5LiSNqRnRX8aJ9UxMLbkH5bTu7QU7SJHPwgT,2109704.6413502106,305,0
4LNeXPh4qiY8a1fYAFndRvi6ddWaaoPpLnpPsZLhrsBp,2259635.275770981,355,0
4M7JYkBUh6oquoe3bNcbYnVF4C4pFWYggsgBSM9DcA7T,1903877.4088692826,205,0
4MCqK76awk8QeQiVVF2HYG2nhCsDGZyEfm1b8iSJr7hj,2264680.552454467,355,0
4RAzyqArz6abMJnEzrVReg5YbxFDYR61wZyXKvwf72U9,1903877.4088692826,205,0
4RimqMqEMZWiGsHNiSpQVCquHRwKjvraLiKdnty5zgC4,2368237.7524959366,255,0
4ShCER6eoW9nFXDbxPwTHPU9DpxXDSDiSU9mGn7oYrr8,928720.6872533086,100,0
4U4BKmg5yVYDLNPVDfrrUWADD5f4yRyydaavsGVVUiG9,1903877.4088692826,205,0
4WG1XUCw7NRFrXK4LDWnqzY5Fcsm6En991DhHLuLVCmY,1903877.4088692826,205,0
4WUnrdh3JScYGXH5UYWojfosysWbukPffgQ6BNrHgxrs,928720.6872533086,100,0
4ZqfdPgbDzfm54H6YXv6E9EvMMSEaKyV6JphQakDdPjx,928720.6872533086,100,0
4g3Vgwy2qhd2tEywz9WxnhPjc2A67s5V9UdCi2bNdtpQ,1903877.4088692826,205,0
4gd1fWnCdcaGHdEaWvAwCLzmx396HuLWKWUQPvvWGqtH,0,100,0
4iKFQ3Qq963Fwe7RJ4tbGsJVFwRtoWNPMWnFLt6pYgEe,2266126.2008873,355,0
4irUBc6mdxfP8zBbsPWbqLua9aV822kuKxpjwjRE6hmR,928720.6872533086,100,0
4iru4fWdfLGv8cbeQbhkfrvprRihnmUi4HBP472sdLnX,1903877.4088692826,205,0
4isSidqJQuaxJcTMLt7HK1hy9TKxU9mz1twhqTWuj6kX,150,150,0
4jnU5FUa53Nd5vo9cbe4a7EEyvjd8VJ1ZSBdepSbPu3j,2368237.7524959366,255,0
4kYdqRYWKHEJdJZdN85TT8CF27X9zTAHZJPxGcm2wtA3,0,100,0
4kb8SHXfS64HnZHCLhk36UdwDALSqUXpteLEqVQdSLhX,2274838.9990708404,355,0
4ozn4VjtXfBqVVvBfv2Eb4gKv5doGRa7WdZbNp6fbJY4,928720.6872533086,100,0
4pZmVTk484imo4jHHBfPrp2f2Gfk1YtightGVPCvXZJS,1860500.1745066172,200,3058.8
4r2jPTGxtAUvkBD4UbZtEbUMvNHcgSyosGKDGPNZeEWp,2265403.1460387353,355,0
4tjYQTA16fiSGrykKi4CRCThDRUNWJvRJjcDyh1qbpPV,1903877.4088692826,205,0
4xWLkXUBs4fLeJLo5DJNDpkmj2dKMSUfcdPC2SBsU3rr,1857441.3745066172,200,0
4zEXzTc8AmnpybtBzFJD57SnBYSYqXkHKTJosHi1NFFk,1559480.62514832,230,0
52U8TugtXsN9kUEDEEZ36zexkCU2UNSCgH5Z4tmbChjU,928720.6872533086,100,0
53dZuGoudUoo3sEcqVBWh2S96jBsC2JHKciGeqa6hfKJ,150,150,0
53ki7UhZ754XpBhQqE4SAoAxmRMNZJ45hBQKTAuH7Rh1,1712443.7579746156,255,0
55Cbpa5UMsaeQr8Tg4yetWys2oLrdRDEx5Y6cWRWg9y6,1903877.4088692826,205,0
56QCLEdJpvJFxLdma1ZUXGux6uqQoyXy6hy3wq2pE7Dy,928720.6872533086,100,0
5CP3mzUf7BUng4cvriy3uZJP91Dpy6hGBuqyPSebyip5,0,100,0
5MU1huUpZT5Liz3j5HDJy6Jkv51CYVZLcM4coKbygGyp,1671697.2370559555,180,0
5QAd1tmYpoiGJs5B5c5R12TgnH5qfaatFQ5qMsPXmeaR,205,205,0
5StmPmG1FYUbZ11LuGdidRFttuUZ3zpffgxD1NKTUGpV,205,205,0
5T1Yyz74MD33WDXssnFK2gZ8H4nJN9jAMhyE89Sexk5K,0,100,0
5Uj2fc5Bno36cf54uvm987kUbrM2gXYcjbDkgNBunpNT,928720.6872533086,100,0
5YmpQBEVcYyrAe3XK8e8pYQa3MX6wCFMbu3A2hsxEY33,0,100,0
5Yw4BUHL16fSjFvrb7HpEwRZrs3MtiUG3ex3BdP3bve9,205,205,0
5aKZN9oMKqzvCcesvBMRyLKcGw9d3A2UZUh7Hzj2thtG,205,205,0
5b7uKKt3rvtZUw4tcwVcR68JTLj9Tnw77iExhoQXJcBa,61144648.247039706,1200,50000000
5eTFB8gacx75oh4cEUwFveiKa78Ld3sHaMDH1awvybor,928720.6872533086,100,0
5fEjNHqcAFJPyffNT7YXehEs3yvaGZ7XJyZSc1xLcZRE,928720.6872533086,100,0
5gxzx86DD2pzsrso5NWRsJKqU2sjF9annpHFtCxF5wPE,197224835.2,125,197224710.2
5ky14yWk4AkGg3ZRsWteWav5mSX64JhC7X9TjkoakXMv,0,100,0
5tVNyZtSFPmFzYpdRrV6tpNVuFsT3B11o7yYH8FYBASu,2463439.68068261,230,327382.1
